Pages with Content,,
"from Stats page & quarterly reports, presentations",,
Date,Pages with content,
2008,50000,estimated
2009,180000,estimated
2010,400000,estimated
2011,710000,estimated
2012,"1,117,799",
2013,"1,337,020",
