License,Images,Maps,Articles,Videos,Sounds
cc-by-nc-sa,1106840,596265,1124420,2018,28468
cc-by-nc,394802,65226,665759,7711,1898
cc-by-sa,125400,0,225944,85,0
cc-by,110411,145173,1031660,332,0
public domain/cc zero/no known copyright restrictions,70939,0,144805,73,0
gnu-gpl/gnu-fdl,3903,0,21,0,0
